file_name,file_path,sentence,MFCC_length,mel_spectro_length,raw_length,speaker
SA1.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MTRC0/SA1.WAV,SA1,219,219,43623,MTRC0
SX68.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FETB0/SX68.WAV,SX68,215,215,42906,FETB0
SA1.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MEFG0/SA1.WAV,SA1,293,293,58471,MEFG0
SI1694.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MGAR0/SI1694.WAV,SI1694,175,175,34816,MGAR0
SX346.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MDKS0/SX346.WAV,SX346,330,330,65946,MDKS0
SI1447.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MCAE0/SI1447.WAV,SI1447,454,454,90727,MCAE0
SX68.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FECD0/SX68.WAV,SX68,237,237,47207,FECD0
SX238.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MHRM0/SX238.WAV,SX238,191,191,38196,MHRM0
SI793.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FCRZ0/SI793.WAV,SI793,225,225,44852,FCRZ0
SX88.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MPFU0/SX88.WAV,SX88,275,275,54989,MPFU0
SI1806.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MGSH0/SI1806.WAV,SI1806,253,253,50484,MGSH0
SX130.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MPRT0/SX130.WAV,SX130,175,175,34816,MPRT0
SA2.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MTXS0/SA2.WAV,SA2,252,252,50279,MTXS0
SX30.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MCSS0/SX30.WAV,SX30,162,162,32359,MCSS0
SI2167.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FMMH0/SI2167.WAV,SI2167,272,272,54272,FMMH0
SX377.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MTKD0/SX377.WAV,SX377,249,249,49664,MTKD0
SX157.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MLSH0/SX157.WAV,SX157,205,205,40858,MLSH0
SX341.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MRML0/SX341.WAV,SX341,285,285,56935,MRML0
SI2069.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MDHL0/SI2069.WAV,SI2069,211,211,42087,MDHL0
SI1374.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MEDR0/SI1374.WAV,SI1374,182,182,36250,MEDR0
SX144.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MMAB1/SX144.WAV,SX144,223,223,44442,MMAB1
SI1772.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MHXL0/SI1772.WAV,SI1772,229,229,45671,MHXL0
SX330.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MWEM0/SX330.WAV,SX330,260,260,51917,MWEM0
SA2.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FSMA0/SA2.WAV,SA2,207,207,41370,FSMA0
SX169.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/FVKB0/SX169.WAV,SX169,229,229,45671,FVKB0
SI1324.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MLJH0/SI1324.WAV,SI1324,273,273,54580,MLJH0
SX111.WAV,/workspace/data_pa/TIMIT/AUDIO_FILES/ORIGINAL/train/MJPG0/SX111.WAV,SX111,166,166,33178,MJPG0
